code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
562,NER,Niger,2005,8,0,100,NA,5.91,NA,NA,NA,NA,NA,NA,3,NA,41.56,36.55,100,99.64,48,NA,0,3.93,67.55,5.91,1.96,74,41.56,-911,-911,-911,0,25.14,25.62,25.43
566,NGA,Nigeria,2005,46.5,5.4,47.07,50,15.46,70.55,90,90,31.66,29.16,24.24,27,45.96,75.96,58.22,100,83.81,84,23.56,1.08,9.77,70.27,15.46,7.58,65.54,57.54,70.55,23.9,29.16,1.08,31.1,40.88,36.97
578,NOR,Norway,2005,100,100,0,NA,98.53,75.65,65.82,15.48,95.33,32.52,9.99,95,58.54,73.83,75.19,100,99.64,92,27.95,77.05,100,98.21,98.53,100,46,69.19,75.65,18.97,32.52,77.05,98.91,62.92,77.32
512,OMN,Oman,2005,92.5,54.16,NA,0,80.96,21.64,0,67.9,49.9,NA,28.89,95,53.4,61.74,53.99,100,95.32,24,37.56,13.4,37.98,96.77,80.96,46.07,24,42.28,21.64,33.23,-911,13.4,74.6,26.5,45.74
586,PAK,Pakistan,2005,85.5,8.85,100,0,55.36,44.33,38.83,43.56,45.87,43.06,24.86,31,56.2,58.4,51.11,34.1,0,40,24.83,3.52,41.97,21.7,55.36,25.41,70,41.43,44.33,24.84,43.06,3.52,34.16,32.61,33.23
585,PLW,Palau,2005,54.5,75.7,NA,NA,71.96,1.02,2.42,0,NA,NA,22.08,99.5,0,65.4,65.4,100,100,4,100,40,54.23,99.83,71.96,64.97,4,43.6,1.02,61.04,-911,40,78.92,30.51,49.87
591,PAN,Panama,2005,86.5,22.01,NA,100,68.85,52.82,71.48,32.83,60.36,14.35,10.71,81,78.87,92.44,76.52,100,100,96,36.22,20.15,48.9,93.67,68.85,35.46,96,86.96,52.82,23.47,14.35,20.15,65.99,48.56,55.53
598,PNG,Papua New Guinea,2005,13,1.26,100,14,42.48,89.98,78.61,90,NA,45.05,42.21,22,61.97,14.23,12.52,100,100,12,73.91,0,0.42,74,42.48,0.84,56,25.68,89.98,58.06,45.05,0,39.1,42.03,40.86
600,PRY,Paraguay,2005,94.5,21.48,100,NA,62.35,44.09,46.91,16.3,98.84,0,NA,50.5,NA,31.2,31.46,100,100,84,NA,0.16,31.72,83.5,62.35,26.6,92,31.2,44.09,-911,0,0.16,57.49,26.07,38.63
604,PER,Peru,2005,78.5,20.96,100,56,50.2,16.71,41.91,23.2,0,32.52,14.19,58,66.05,71.65,61.04,100,85.97,84,35.98,20.98,30.24,81.32,50.2,25.6,92,63.69,16.71,25.09,32.52,20.98,52.37,35.7,42.37
608,PHL,Philippines,2005,77,22.89,100,40,59.04,35.73,78.85,30.28,46.15,31.35,30.9,48.5,78.06,63.88,76.24,100,92.09,72,26.78,0.53,43.55,80.2,59.04,33.22,86,64.55,35.73,28.84,31.35,0.53,57.48,35.52,44.31
616,POL,Poland,2005,100,45.05,13.67,NA,95.82,60.53,77.14,46.79,48.99,58.94,23.61,97.5,75.28,100,100,58.59,31.29,88,35.4,60.73,73.66,62.46,95.82,59.36,50.84,91.76,60.53,29.5,58.94,60.73,72.54,64.64,67.8
620,PRT,Portugal,2005,100,89.88,22.78,100,94.36,80.68,78.41,50.93,90,7.75,14.91,95,55.74,48.53,48.23,100,89.93,92,42.22,70.33,80.67,94.98,94.36,85.28,57.39,63.12,80.68,28.57,7.75,70.33,91.54,60.04,72.64
634,QAT,Qatar,2005,92.5,100,NA,NA,86.68,70.93,61.38,79.08,90,NA,0,99,0,12.7,12.7,92.57,77.34,88,0,67.32,100,89.64,86.68,100,88,8.47,70.93,0,-911,67.32,92.11,45.64,64.23
642,ROU,Romania,2005,100,24.65,0.59,NA,80.63,62.82,90,60.61,51.58,45.05,0,79,99.26,40.13,51.12,68.21,36.33,92,0,13.05,37.98,61.18,80.63,31.32,46.29,63.51,62.82,0,45.05,13.05,57.71,41.67,48.08
643,RUS,Russia,2005,100,23.94,25.92,0,78.05,61.02,90,26.94,47.77,35.07,1.66,98.5,87.99,60.88,64.02,96.38,77.7,4,5.82,21.5,61.39,90.86,78.05,42.66,14.96,53.22,61.02,3.74,35.07,21.5,70.53,38.56,51.35
646,RWA,Rwanda,2005,8.5,13.75,100,NA,23.3,NA,NA,NA,NA,45.05,NA,2,NA,56.32,59.76,100,87.05,20,NA,0,16.01,63.02,23.3,14.88,60,56.32,-911,-911,45.05,0,33.73,33.21,33.42
682,SAU,Saudi Arabia,2005,92.5,93.32,NA,NA,85.63,46.63,45.83,44.12,48.49,NA,27.9,95,81.1,100,100,99.44,82.37,84,0,28.54,65.02,92.27,85.63,79.17,84,93.7,46.63,13.95,-911,28.54,85.69,53.13,66.15
686,SEN,Senegal,2005,47,10.61,22.9,NA,25.07,NA,NA,NA,NA,NA,11.21,42,77.21,99.49,79.36,100,100,12,21.5,2.06,17.2,80.67,25.07,13.91,17.45,85.36,-911,16.36,-911,2.06,39.88,37.48,38.44
688,SRB,Serbia,2005,100,66.39,100,NA,81.43,62.92,76.57,55.3,75.2,100,NA,64,NA,99.78,99.12,67.54,37.41,84,NA,8.79,88.28,56.32,81.43,77.33,92,99.78,62.92,-911,100,8.79,71.69,63.86,66.99
