code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
4,AFG,Afghanistan,2006,39.4,3.3,100,0,27.9,NA,NA,NA,NA,52.35,NA,12.6,NA,1.65,3.35,96.21,78.78,0,NA,0,2.66,62.53,27.9,2.98,50,1.88,-911,-911,52.35,0,31.13,12.62,20.03
8,ALB,Albania,2006,100,47.85,100,NA,81.92,85.74,86.45,78.69,99.4,17.25,0,56.6,73.71,58.55,56.8,83.94,62.95,20,0,3.36,60.63,67.83,81.92,54.24,60,63.02,85.74,0,17.25,3.36,68,42.75,52.85
12,DZA,Algeria,2006,98.6,57.48,100,NA,62.58,37.53,26.2,28.62,55.48,26.24,36.36,98,48.04,37.12,19.43,100,96.04,88,34.8,34.64,33.8,98.01,62.58,45.64,94,34.86,37.53,35.58,26.24,34.64,68.74,37.64,50.08
24,AGO,Angola,2006,33.4,12.53,100,0,12.16,NA,NA,NA,NA,26.24,22.93,33.4,38.89,65.54,62.37,100,97.12,12,27.34,0,5.5,76.84,12.16,9.01,56,41.7,-911,25.14,26.24,0,32.67,24.48,27.76
28,ATG,Antigua and Barbuda,2006,86.8,47.22,NA,100,80.42,8.41,13.11,0,NA,NA,0,98,45.05,38,60.64,100,100,84,0,11.37,72.42,99.33,80.42,59.82,84,60.92,8.41,0,-911,11.37,79.86,27.08,48.19
32,ARG,Argentina,2006,86.8,57.23,100,50,82.24,16.79,13.6,22.06,11.47,0,23.88,97.6,64.53,29.1,35.9,100,100,92,13.61,11.75,74.7,99.2,82.24,65.96,96,44.88,16.79,18.74,0,11.75,82.47,25.03,48.01
51,ARM,Armenia,2006,99.2,45.66,100,100,79.22,39.91,72.39,13.68,89.95,74.82,NA,68.6,NA,73.14,73.94,81.77,56.12,84,NA,22.59,62.02,68.83,79.22,53.84,92,80.16,39.91,-911,74.82,22.59,67.3,53.05,58.75
36,AUS,Australia,2006,100,100,43.54,86,97.88,47.67,44.55,31.12,53.98,100,30.02,95,95.95,61.79,64.89,100,100,76,14.65,92.33,100,98.33,97.88,100,59.77,77.16,47.67,22.33,100,92.33,98.74,69.51,81.2
40,AUT,Austria,2006,100,100,18.92,NA,99.07,62.09,54.7,51.19,76.91,19.87,NA,95,NA,86.59,93.99,69.18,39.21,92,NA,79.05,100,67.8,99.07,100,55.46,86.59,62.09,-911,19.87,79.05,88.95,68.55,76.71
31,AZE,Azerbaijan,2006,98.4,28.87,100,NA,62.54,80.88,90,78.28,83.55,63.12,NA,84.6,NA,58.66,68.89,94.99,79.86,24,NA,13.15,25.47,86.48,62.54,27.17,62,58.66,80.88,-911,63.12,13.15,58.73,52.87,55.21
44,BHS,Bahamas,2006,86.8,42.49,NA,NA,67.61,0,0,0,NA,21.31,7.84,95,65.26,79.55,81.77,100,100,12,66.04,11.37,61.41,98.33,67.61,51.95,12,75.53,0,36.94,21.31,11.37,72.63,28.15,45.94
48,BHR,Bahrain,2006,92.8,86.81,NA,NA,81.21,39.57,32.21,26.74,56.9,NA,0,95,0,7.48,7.48,85.45,64.03,12,0,64.27,100,81.49,81.21,93.4,12,4.99,39.57,0,-911,64.27,85.37,30.9,52.68
50,BGD,Bangladesh,2006,45.8,12.19,100,NA,46.98,NA,NA,NA,NA,22.83,0,9.8,77.27,10.76,30.44,46.47,15.47,76,0,0,28.83,23.91,46.98,20.51,88,39.49,-911,0,22.83,0,30.47,22.07,25.43
52,BRB,Barbados,2006,86.8,49.79,NA,0,85.11,12.38,11,14.85,NA,NA,3.85,100,8.03,0.54,0.54,100,100,84,100,11.37,96.44,100,85.11,73.12,84,2.28,12.38,51.92,-911,11.37,86.08,17.66,45.03
112,BLR,Belarus,2006,100,53.15,100,NA,84.78,43.15,90,36.27,41.89,68.23,NA,96.8,NA,41.25,41.25,70.52,43.17,36,NA,86.45,93.72,70.16,84.78,73.44,68,41.25,43.15,-911,68.23,86.45,76.13,58.82,65.74
56,BEL,Belgium,2006,100,100,19.25,NA,96.64,64.47,61.8,35.28,70.09,23.64,0,95,0,86.22,86.22,67.72,33.81,92,0,60,100,65.51,96.64,100,55.62,57.48,64.47,0,23.64,60,87.38,50.63,65.33
84,BLZ,Belize,2006,86.8,40.74,100,NA,77.55,2.59,83.28,0,NA,4.69,0,85.2,96.15,99.65,98.23,100,100,76,0,2.28,48.97,95.07,77.55,44.86,88,98.01,2.59,0,4.69,2.28,72.49,30.59,47.35
204,BEN,Benin,2006,26.8,0,80.1,NA,22.26,NA,NA,NA,NA,NA,0,7.8,0,98.86,98.79,98.16,78.42,68,0,0.01,18.88,61.46,22.26,9.44,74.05,65.88,-911,0,-911,0.01,31.05,31.04,31.04
64,BTN,Bhutan,2006,70.4,8.76,100,NA,35.4,NA,NA,NA,NA,63.12,NA,52.8,NA,94.92,96.13,70.6,48.92,0,NA,0,47.65,57.44,35.4,28.2,50,94.92,-911,-911,63.12,0,40.35,50.06,46.18
68,BOL,Bolivia,2006,78.8,8.71,100,43,45.31,63.57,0,90,11.28,11.77,NA,68.2,NA,95.73,91.7,100,97.48,28,NA,11.3,32.17,88.56,45.31,20.44,64,81.04,63.57,-911,11.77,11.3,51.43,48.17,49.47
70,BIH,Bosnia and Herzegovina,2006,99.6,62.36,100,NA,87.63,31.71,34.14,17.86,57.95,100,NA,53,NA,2.5,2.5,76.53,53.6,4,NA,3.18,78.15,61.04,87.63,70.25,52,2.5,31.71,-911,100,3.18,72.98,24.39,43.82
72,BWA,Botswana,2006,41.8,16.38,NA,NA,47.27,16.57,61.98,11.37,6.12,NA,NA,57.8,NA,100,100,100,100,20,NA,0.95,61.73,85.93,47.27,39.06,20,100,16.57,-911,-911,0.95,57.42,37.98,45.75
76,BRA,Brazil,2006,98.2,29.85,45.68,30,65.2,53.82,52.02,26.19,79.65,10.81,27,92,81.03,81.94,72.9,100,99.28,88,29.28,10.87,59.53,97.09,65.2,44.69,66.84,66.47,53.82,28.14,10.81,10.87,69,40.03,51.61
96,BRN,Brunei Darussalam,2006,71.4,44.39,NA,NA,96.07,21.73,0,16,64.57,36.46,71.1,95,NA,100,100,100,95.68,68,72.62,37.84,100,96.89,96.07,72.19,68,100,21.73,71.86,36.46,37.84,88.38,54.12,67.83
100,BGR,Bulgaria,2006,100,100,78.22,NA,84.35,48.18,90,45.22,39.47,84.12,0,90.6,6.55,99.86,99.44,68.77,38.85,92,0,28.86,91.72,66.07,84.35,95.86,85.11,68.62,48.18,0,84.12,28.86,82.09,49.08,62.29
854,BFA,Burkina Faso,2006,10.6,0.23,100,NA,9.97,NA,NA,NA,NA,NA,NA,5.6,NA,83.75,83.75,100,100,76,NA,0.02,18.42,68.53,9.97,9.33,88,83.75,-911,-911,-911,0.02,29.28,46.08,39.36
108,BDI,Burundi,2006,4.6,11.09,100,NA,15.9,NA,NA,NA,NA,22.83,NA,3.2,NA,30.29,30.5,100,90.29,76,NA,0,20.39,64.5,15.9,15.74,88,30.29,-911,-911,22.83,0,32.04,21.93,25.98
116,KHM,Cambodia,2006,25.4,3.29,100,NA,45.63,NA,NA,NA,NA,0,0,9,36.78,100,100,100,90.29,28,0,0,9.1,66.43,45.63,6.19,64,78.93,-911,0,0,0,39.42,30.58,34.11
120,CMR,Cameroon,2006,47.8,10.9,100,62,19.74,62.13,41.76,63.79,58.84,43.06,0,21.8,0,52.57,62.78,100,91.37,76,0,0,17.67,71.06,19.74,14.28,88,44.34,62.13,0,43.06,0,35.03,35.32,35.2
124,CAN,Canada,2006,100,95.95,23.4,50,98.87,59.85,53.78,29.2,72.18,16.64,17.56,95,72.78,48.14,56.05,100,84.53,96,28.87,80.42,95.67,93.18,98.87,95.81,59.7,56.74,59.85,23.22,16.64,80.42,95.95,56.23,72.12
132,CPV,Cape Verde,2006,63.8,14.17,100,0,69.96,45.04,40.29,45.15,NA,NA,8.6,65.2,0,14.64,14.64,100,100,12,66.07,19.4,34.98,88.4,69.96,24.58,56,7.32,45.04,37.33,-911,19.4,60.98,27.19,40.71
140,CAF,Central African Republic,2006,7.8,4.78,100,NA,12.25,NA,NA,NA,NA,43.06,NA,3.2,NA,97,97.02,100,90.65,72,NA,0,14.62,64.62,12.25,9.7,86,97,-911,-911,43.06,0,28.86,50.55,41.87
148,TCD,Chad,2006,3.2,0,78.28,NA,12.23,NA,NA,NA,NA,NA,NA,8.8,NA,55.34,51.22,100,99.64,72,NA,0,4.67,69.48,12.23,2.33,75.14,55.34,-911,-911,-911,0,28.01,31.99,30.4
152,CHL,Chile,2006,99.2,62.82,38.47,40,88.85,35.92,53.08,32.93,12.23,100,18.17,90.8,71.68,59.7,46.14,100,95.32,92,25.52,68.85,66.76,95.37,88.85,64.79,65.24,54.38,35.92,21.85,100,68.85,83,55.23,66.34
156,CHN,China,2006,99.2,15.23,22.42,54,80.68,65.16,39.29,75,51.83,25.34,34.75,51.2,66.24,64.3,80.39,3.34,0,52,9.21,18.18,37.42,18.18,80.68,26.32,37.21,66.23,65.16,21.98,25.34,18.18,41.73,43.98,43.08
170,COL,Colombia,2006,95.4,27.71,26.67,56,59.75,43.49,64.68,36.3,48.1,26.24,16.17,84,99.08,89.05,76.54,100,99.64,84,55.42,4.6,47.05,94.55,59.75,37.38,55.33,80.17,43.49,35.79,26.24,4.6,63.89,41.03,50.18
174,COM,Comoros,2006,46.8,6.29,100,0,31.23,NA,NA,NA,NA,68.23,30.56,25.8,0,0,0,100,100,8,96.52,3.96,57.27,75.27,31.23,31.78,54,0,-911,63.54,68.23,3.96,46.09,22.49,31.93
178,COG,Congo,2006,30.6,1.25,NA,NA,22.8,59.88,55.48,90,0.01,47.23,0,19.4,88.53,55,55.34,99.08,79.5,52,0,0.18,19.01,65.99,22.8,10.13,52,66.29,59.88,0,47.23,0.18,32.97,38.91,36.54
188,CRI,Costa Rica,2006,97.4,52.54,100,100,87.82,38.46,46.55,34.42,38.81,19.87,25.2,91.2,74.46,94.44,89.28,100,100,72,47.93,0.9,60.6,97.07,87.82,56.57,86,89.55,38.46,36.56,19.87,0.9,80.49,42.17,57.5
384,CIV,Cote d'Ivoire,2006,55.8,2.38,100,67,25.48,49.3,48.32,53.16,41.59,0,10.93,20.8,57.94,100,100,100,94.24,60,53.64,0.6,25.64,71.68,25.48,14.01,80,81.23,49.3,32.28,0,0.6,37.06,40.01,38.83
191,HRV,Croatia,2006,100,76.86,25.98,NA,95.11,63.26,72.63,42.91,63.39,63.12,31.37,88.8,85.5,56.58,46.83,67.24,39.93,88,23.89,13.23,78.13,65.32,95.11,77.49,56.99,62.97,63.26,27.63,63.12,13.23,79.31,46.79,59.8
192,CUB,Cuba,2006,98.8,45.63,NA,50,91.06,16.93,0,14.87,23.47,100,9.76,92.2,78.59,36.57,51.31,100,100,76,49.27,9.19,48.34,97.4,91.06,46.99,76,54.12,16.93,29.51,100,9.19,78.48,36.81,53.48
196,CYP,Cyprus,2006,100,100,20.97,NA,97.8,61.92,64.92,46.81,57.34,35.07,26.72,95,31.08,100,100,90.62,65.83,88,43.79,9.44,100,83.82,97.8,100,54.49,77.03,61.92,35.26,35.07,9.44,93.87,46.85,65.66
203,CZE,Czech Republic,2006,100,99.89,18.16,NA,99.15,65.82,77.62,30.98,54.43,45.05,NA,97.6,NA,98.33,98.39,61.5,32.37,96,NA,75.68,95.97,63.82,99.15,97.93,57.08,98.33,65.82,-911,45.05,75.68,86.97,74.8,79.66
180,COD,Dem. Rep. Congo,2006,11.8,3.66,100,0,8.97,NA,NA,NA,NA,26.24,NA,5,NA,58.64,58.54,91.7,72.3,16,NA,0,3.54,56.33,8.97,3.6,58,43.94,-911,-911,26.24,0,22.97,25.4,24.43
208,DNK,Denmark,2006,100,100,22.4,NA,99.7,67.22,68.22,45.65,65.31,18.52,7.59,95,51.14,71.02,71.02,95.57,78.42,92,7.02,93.45,100,89.66,99.7,100,57.2,64.39,67.22,7.31,18.52,93.45,96.45,61.71,75.61
262,DJI,Djibouti,2006,48.4,17.66,NA,0,27.19,NA,NA,NA,NA,NA,0,87,61.78,0.01,0.01,100,98.92,12,0,0,38.56,95.31,27.19,28.11,12,15.45,-911,0,-911,0,50.2,6.86,24.2
212,DMA,Dominica,2006,89.8,33.04,100,100,70.76,27.95,44.51,25.36,NA,NA,0,91.4,0,80.06,85.12,100,100,12,0,2.99,54.91,97.13,70.76,43.97,56,66.29,27.95,0,-911,2.99,70.62,30.12,46.32
214,DOM,Dominican Republic,2006,95.6,32.14,100,100,76.21,44.06,90,39.28,45.65,5.79,31.82,87.8,98.96,75.78,97.03,100,100,88,53.62,5.9,31.9,95.93,76.21,32.02,94,92.94,44.06,42.72,5.79,5.9,68.06,45.28,54.39
218,ECU,Ecuador,2006,95.4,42.38,100,84,69.32,54.66,48.8,51.28,61.75,28.15,28.09,93.6,100,91.77,76.33,100,96.04,92,46.27,6.4,38.71,96.55,69.32,40.54,96,88.03,54.66,37.18,28.15,6.4,68.8,48.6,56.68
818,EGY,Egypt,2006,99.2,56.36,100,NA,60.91,61.05,25.37,74.42,35.25,NA,9.89,99.6,91.74,34.75,27.02,66.66,37.77,88,42.34,49.5,74,68.01,60.91,65.18,94,51.17,61.05,26.12,-911,49.5,64.7,53.05,57.71
222,SLV,El Salvador,2006,90.4,20.62,100,NA,67.01,58.24,50.76,44.52,85.44,9.9,26.14,72.8,0,0.46,0.17,100,99.64,60,42.91,0.62,37.09,90.81,67.01,28.86,80,0.21,58.24,34.52,9.9,0.62,62.23,23.21,38.82
226,GNQ,Equatorial Guinea,2006,27.8,44.18,NA,100,12.76,NA,NA,NA,NA,37.94,17.84,22.2,65.29,100,100,100,99.64,0,82.26,1.25,6.18,73.95,12.76,25.18,0,91.32,-911,50.05,37.94,1.25,37.3,42.59,40.47
232,ERI,Eritrea,2006,32.6,0,100,NA,40.46,NA,NA,NA,NA,NA,0,35.2,0,28.28,25.55,100,93.17,84,0,0,10.99,76.12,40.46,5.49,92,17.94,-911,0,-911,0,40.69,13.98,24.66
233,EST,Estonia,2006,100,60.6,19.2,NA,90.45,56.71,79.79,0,42.15,9.02,5.17,86.2,82.55,73.97,73.97,100,99.64,84,55.32,75.27,80.59,95.28,90.45,70.59,51.6,76.83,56.71,30.25,9.02,75.27,85.44,58.71,69.4
231,ETH,Ethiopia,2006,19,0.24,100,71,27.35,NA,NA,NA,NA,35.07,NA,3.6,NA,93.11,82.84,100,98.2,20,NA,0,1.41,67.27,27.35,0.83,60,83.73,-911,-911,35.07,0,31.81,42.22,38.06
242,FJI,Fiji,2006,54.8,35.12,100,40,69.9,65.71,21.24,67.16,NA,58.94,24.08,60.2,76.91,16.25,18.21,100,100,88,67.62,3.9,55.38,86.73,69.9,45.25,94,37.84,65.71,45.85,58.94,3.9,67.29,42.04,52.14
246,FIN,Finland,2006,100,100,19.96,NA,100,62.24,62.1,37.12,62.75,11.77,25,95,84.58,49.65,49.92,100,99.64,96,63.01,84.25,100,98.21,100,100,57.98,61.38,62.24,44.01,11.77,84.25,99.4,60.44,76.03
250,FRA,France,2006,100,100,22.68,0,98.63,49.83,55.72,43.07,38.23,37.94,0.03,95,40.71,78.01,84.67,88.99,69.78,92,0,83.8,100,84.59,98.63,100,57.34,50.85,49.83,0.01,37.94,83.8,94.41,52.78,69.43
266,GAB,Gabon,2006,78.8,5.59,NA,NA,32.94,56.67,90,79.52,1.77,58.94,41.49,70,77.49,86.49,84.84,100,99.64,4,31.2,0,36.36,89.88,32.94,20.98,4,82.94,56.67,36.34,58.94,0,47.93,44.63,45.95
270,GMB,Gambia,2006,32.2,20.69,100,NA,19.3,NA,NA,NA,NA,NA,0,7,52.56,23.89,34.63,100,100,84,0,0.4,38.09,69,19.3,29.39,92,37.02,-911,0,-911,0.4,39.23,21.47,28.57
