code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
4,AFG,Afghanistan,2010,41,3.9,100,0,31.88,NA,NA,NA,NA,52.35,NA,15,NA,2.19,4.53,98.59,82.37,0,NA,0,9.32,65.32,31.88,6.61,50,2.52,-911,-911,52.35,0,34.6,12.87,21.56
8,ALB,Albania,2010,100,54.34,100,NA,93.18,85.74,86.45,78.69,99.4,17.25,0,61,73.71,58.79,57.06,84.86,63.31,20,0,3.36,56.65,69.72,93.18,55.5,60,63.19,85.74,0,17.25,3.36,72.8,42.8,54.8
12,DZA,Algeria,2010,99,60.06,100,NA,65.25,37.53,26.2,28.62,55.48,26.24,11.76,100,48.04,37.12,19.43,100,97.48,88,34.8,34.64,31.79,99.16,65.25,45.93,94,34.86,37.53,23.28,26.24,34.64,70.11,36.41,49.89
24,AGO,Angola,2010,35,15.37,100,0,14.32,NA,NA,NA,NA,26.24,19.85,45,38.89,65.54,62.37,100,94.6,12,27.34,0,6.99,79.87,14.32,11.18,56,41.7,-911,23.59,26.24,0,35.12,24.28,28.62
28,ATG,Antigua and Barbuda,2010,88,49.41,NA,100,82.76,8.41,13.11,0,NA,NA,0,100,45.05,38,60.64,100,100,84,0,11.37,72.62,100,82.76,61.02,84,60.92,8.41,0,-911,11.37,81.26,27.08,48.75
32,ARG,Argentina,2010,88,63.45,100,50,84.06,16.79,13.6,22.06,11.47,0,20.27,100,64.53,29.1,35.9,100,98.92,92,13.61,11.75,83.47,99.64,84.06,73.46,96,44.88,16.79,16.94,0,11.75,85.72,24.85,49.2
51,ARM,Armenia,2010,100,46.76,100,100,80.4,39.91,72.39,13.68,89.95,74.82,NA,81,NA,73.14,73.94,85.25,61.87,84,NA,22.59,78.62,76.04,80.4,62.69,92,80.16,39.91,-911,74.82,22.59,73.05,53.05,61.05
36,AUS,Australia,2010,100,100,57.44,86,99.54,47.67,44.55,31.12,53.98,100,24.2,95,99.29,72.04,70.96,100,100,76,14.65,92.33,100,98.33,99.54,100,66.72,82.07,47.67,19.42,100,92.33,99.29,70.8,82.2
40,AUT,Austria,2010,100,100,34.95,NA,100,62.09,54.7,51.19,76.91,19.87,NA,95,NA,86.59,93.99,84.86,64.03,92,NA,79.05,100,81.3,100,100,63.47,86.59,62.09,-911,19.87,79.05,93.77,68.99,78.9
31,AZE,Azerbaijan,2010,100,34.06,100,NA,61.57,80.88,90,78.28,83.55,63.12,NA,93,NA,58.66,68.89,93.35,75.9,24,NA,13.15,27.19,87.42,61.57,30.63,62,58.66,80.88,-911,63.12,13.15,59.87,52.87,55.67
44,BHS,Bahamas,2010,88,42.49,NA,NA,70.09,0,0,0,NA,21.31,11.5,95,65.26,79.55,81.77,100,100,12,66.04,11.37,61.41,98.33,70.09,51.95,12,75.53,0,38.77,21.31,11.37,73.46,28.33,46.38
48,BHR,Bahrain,2010,94,86.81,NA,NA,80.58,39.57,32.21,26.74,56.9,NA,0,95,0,7.48,7.48,78.17,52.16,12,0,64.27,100,75.11,80.58,93.4,12,4.99,39.57,0,-911,64.27,83.03,30.9,51.75
50,BGD,Bangladesh,2010,55,13.73,100,NA,52.69,NA,NA,NA,NA,22.83,0,9,77.27,11.26,30.5,33.82,0,84,0,0,30.56,14.27,52.69,22.15,92,39.68,-911,0,22.83,0,29.7,22.4,25.32
52,BRB,Barbados,2010,88,49.79,NA,0,88.3,12.38,11,14.85,NA,NA,0,100,8.03,0.54,0.54,100,100,84,100,11.37,96.44,100,88.3,73.12,84,2.28,12.38,50,-911,11.37,87.14,17.45,45.33
112,BLR,Belarus,2010,100,53.35,100,NA,87.68,43.15,90,36.27,41.89,68.23,NA,100,NA,41.25,41.25,83.65,58.99,36,NA,86.45,93.88,80.88,87.68,73.62,68,41.25,43.15,-911,68.23,86.45,80.73,58.82,67.58
56,BEL,Belgium,2010,100,100,32.6,NA,98.76,64.47,61.8,35.28,70.09,23.64,0,95,0,86.34,86.34,75.14,45.68,92,0,60,100,71.94,98.76,100,62.3,57.56,64.47,0,23.64,60,90.24,50.99,66.69
84,BLZ,Belize,2010,88,45.46,100,NA,79.67,2.59,83.28,0,NA,4.69,0,88,96.15,99.93,99.67,100,100,84,0,2.28,71.48,96,79.67,58.47,92,98.58,2.59,0,4.69,2.28,78.04,30.93,49.78
204,BEN,Benin,2010,28,0,80.1,NA,24.08,NA,NA,NA,NA,NA,0,9,0,98.86,98.79,100,91.01,68,0,0.01,22.01,66.67,24.08,11,74.05,65.88,-911,0,-911,0.01,33.92,31.04,32.19
64,BTN,Bhutan,2010,72,9.67,100,NA,40.08,NA,NA,NA,NA,63.12,NA,60,NA,94.92,96.13,49.87,25.18,0,NA,0,62.55,45.02,40.08,36.11,50,94.92,-911,-911,63.12,0,40.4,50.06,46.2
68,BOL,Bolivia,2010,80,10.02,100,43,47.24,63.57,0,90,11.28,11.77,NA,71,NA,95.73,91.7,100,100,28,NA,11.3,37.18,90.33,47.24,23.6,64,81.04,63.57,-911,11.77,11.3,53.73,48.17,50.39
70,BIH,Bosnia and Herzegovina,2010,100,62.88,100,NA,90.03,31.71,34.14,17.86,57.95,100,NA,55,NA,2.5,2.5,89.4,69.06,12,NA,3.18,81.16,71.16,90.03,72.02,56,2.5,31.71,-911,100,3.18,77.74,24.61,45.86
72,BWA,Botswana,2010,43,19,NA,NA,53.93,16.57,61.98,11.37,6.12,NA,NA,63,NA,100,100,100,100,20,NA,0.95,65.32,87.67,53.93,42.16,20,100,16.57,-911,-911,0.95,61.25,37.98,47.29
76,BRA,Brazil,2010,99,32.1,61.01,30,67.23,53.82,52.02,26.19,79.65,10.81,22.2,94,81.04,82.4,73.54,100,99.64,88,29.28,10.87,66.24,97.88,67.23,49.17,74.51,66.74,53.82,25.74,10.81,10.87,71.43,40.24,52.71
