code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
4,AFG,Afghanistan,2002,37.8,2.74,100,0,24.57,NA,NA,NA,NA,52.35,NA,10.2,NA,1.65,3.35,96.15,78.06,0,NA,0,0,61.47,24.57,1.37,50,1.88,-911,-911,52.35,0,29.14,12.62,19.23
8,ALB,Albania,2002,100,42.2,100,NA,71.81,85.74,86.45,78.69,99.4,17.25,0,52.2,73.71,42.42,39.52,80.03,56.47,12,0,3.36,64.79,62.9,71.81,53.49,56,51.89,85.74,0,17.25,3.36,62.74,39.77,48.96
12,DZA,Algeria,2002,98.2,53.36,100,NA,58.84,37.53,26.2,28.62,55.48,26.24,33.77,96,41.18,37.12,19.43,100,92.81,80,35.23,34.64,38.61,96.27,58.84,45.98,90,32.58,37.53,34.5,26.24,34.64,67.03,36.76,48.87
24,AGO,Angola,2002,31.8,9.94,100,0,8.91,NA,NA,NA,NA,26.24,22.48,21.8,38.89,65.54,62.37,100,96.76,0,27.67,0,4.28,72.85,8.91,7.11,50,41.7,-911,25.08,26.24,0,29.63,24.07,26.3
28,ATG,Antigua and Barbuda,2002,85.6,40.14,NA,100,77.68,8.41,13.11,0,NA,NA,0,96,45.05,35.01,59.48,100,100,76,0,11.37,71.68,98.67,77.68,55.91,76,59.88,8.41,0,-911,11.37,77.42,26.35,46.78
32,ARG,Argentina,2002,85.6,52.15,100,50,81.26,16.79,13.6,22.06,11.47,0,12.37,95.2,64.53,29.1,35.9,100,100,84,15.68,11.75,67.68,98.4,81.26,59.92,92,44.88,16.79,14.02,0,11.75,79.86,24.36,46.56
51,ARM,Armenia,2002,98.4,44.63,100,100,75.4,39.91,72.39,13.68,89.95,74.82,NA,56.2,NA,73.14,73.94,82,61.51,76,NA,22.59,52.36,66.57,75.4,48.5,88,80.16,39.91,-911,74.82,22.59,63.49,52.83,57.09
36,AUS,Australia,2002,100,100,68.49,86,95.41,47.67,44.55,31.12,53.98,100,24.87,95,89.69,59.09,62.6,100,100,68,13.9,92.33,100,98.33,95.41,100,68.24,74.35,47.67,19.38,100,92.33,97.92,68.94,80.53
40,AUT,Austria,2002,100,100,9.31,NA,97.49,62.09,54.7,51.19,76.91,19.87,NA,95,NA,86.59,93.99,74.02,47.48,92,NA,79.05,100,72.17,97.49,100,50.65,86.59,62.09,-911,19.87,79.05,89.89,68.28,76.92
31,AZE,Azerbaijan,2002,96.8,21.1,100,NA,51.13,80.88,90,78.28,83.55,63.12,NA,76.2,NA,55.4,64.73,90.94,73.02,12,NA,13.15,22.43,80.05,51.13,21.76,56,55.4,80.88,-911,63.12,13.15,50.98,51.63,51.37
44,BHS,Bahamas,2002,85.6,42.49,NA,NA,64.4,0,0,0,NA,21.31,8.54,95,65.26,79.55,81.77,100,100,4,69.8,11.37,61.41,98.33,64.4,51.95,4,75.53,0,39.17,21.31,11.37,71.56,27.97,45.41
48,BHR,Bahrain,2002,91.6,86.58,NA,NA,85.47,39.57,32.21,26.74,56.9,NA,0,95,0,7.48,7.48,97.74,75.9,4,0,64.27,100,89.55,85.47,93.29,4,4.99,39.57,0,-911,64.27,89.43,30.45,54.04
50,BGD,Bangladesh,2002,36.6,10.7,47.67,NA,40.09,NA,NA,NA,NA,22.83,0,10.6,77.27,10.71,30.43,59.07,33.09,76,0,0,27.14,34.25,40.09,18.92,61.84,39.47,-911,0,22.83,0,31.09,20.32,24.63
52,BRB,Barbados,2002,85.6,49.79,NA,0,81.22,12.38,11,14.85,NA,NA,0,100,8.03,0.54,0.54,100,100,72,100,11.37,96.44,100,81.22,73.12,72,2.28,12.38,50,-911,11.37,84.78,16.78,43.98
112,BLR,Belarus,2002,100,52.94,100,NA,80.12,43.15,90,36.27,41.89,68.23,NA,93.6,NA,41.25,41.25,73.41,45.32,24,NA,86.45,93.56,70.78,80.12,73.25,62,41.25,43.15,-911,68.23,86.45,74.71,58.48,64.98
56,BEL,Belgium,2002,100,100,10.22,NA,94.88,64.47,61.8,35.28,70.09,23.64,0,95,0,75.49,75.49,72.61,46.04,84,0,60,100,71.22,94.88,100,47.11,50.33,64.47,0,23.64,60,88.7,48.42,64.53
84,BLZ,Belize,2002,85.6,36.94,100,NA,74.43,2.59,83.28,0,NA,4.69,0,82.4,95.94,99.65,98.21,100,100,76,0,2.28,37.82,94.13,74.43,37.38,88,97.93,2.59,0,4.69,2.28,68.65,30.57,45.8
204,BEN,Benin,2002,25.6,0,100,NA,19.56,NA,NA,NA,NA,NA,0,6.6,0,98.86,98.79,100,90.65,60,0,0.01,16.07,65.75,19.56,8.03,80,65.88,-911,0,-911,0.01,31.11,31.5,31.34
64,BTN,Bhutan,2002,68.8,7.81,100,NA,30.68,NA,NA,NA,NA,63.12,NA,45.6,NA,94.92,96.13,88.16,67.63,0,NA,0,37.64,67.13,30.68,22.73,50,94.92,-911,-911,63.12,0,40.18,50.06,46.11
68,BOL,Bolivia,2002,77.6,7.46,100,43,43.72,63.57,0,90,11.28,11.77,NA,65.4,NA,94.43,89.82,100,100,20,NA,11.3,27.78,88.47,43.72,17.62,60,79.84,63.57,-911,11.77,11.3,49.94,47.62,48.54
70,BIH,Bosnia and Herzegovina,2002,99.2,61.22,100,NA,86.28,31.71,34.14,17.86,57.95,100,NA,51,NA,2.24,2.24,84.62,62.59,4,NA,3.18,73.2,66.07,86.28,67.21,52,2.24,31.71,-911,100,3.18,73.19,24.32,43.86
72,BWA,Botswana,2002,40.6,13.97,NA,NA,41.91,16.57,61.98,11.37,6.12,NA,NA,52.6,NA,100,100,100,100,20,NA,0.95,58.15,84.2,41.91,36.06,20,100,16.57,-911,-911,0.95,54.06,37.98,44.41
76,BRA,Brazil,2002,97.4,27.74,60.09,30,62.95,53.82,52.02,26.19,79.65,10.81,41.21,90,79.92,80.48,71.88,100,98.56,80,29.06,10.87,54.04,96.19,62.95,40.89,70.04,65.57,53.82,35.14,10.81,10.87,66.68,40.66,51.07
96,BRN,Brunei Darussalam,2002,69.8,41.08,NA,NA,92.21,21.73,0,16,64.57,36.46,63.69,95,NA,100,100,100,98.56,68,74.43,37.84,100,97.85,92.21,70.54,68,100,21.73,69.06,36.46,37.84,86.87,53.84,67.05
100,BGR,Bulgaria,2002,100,97.51,100,NA,78.84,48.18,90,45.22,39.47,84.12,0,88.2,6.55,99.84,99.42,72.01,41.37,80,0,28.86,93.31,67.19,78.84,95.41,90,68.61,48.18,0,84.12,28.86,80.48,49.32,61.79
854,BFA,Burkina Faso,2002,8.2,0,100,NA,8.33,NA,NA,NA,NA,NA,NA,3.2,NA,81.41,81.41,100,100,68,NA,0.02,13.17,67.73,8.33,6.59,84,81.41,-911,-911,-911,0.02,27.55,44.65,37.81
108,BDI,Burundi,2002,4.2,10.42,100,NA,14.72,NA,NA,NA,NA,22.83,NA,2.4,NA,30.29,30.5,100,93.17,68,NA,0,19.62,65.19,14.72,15.02,84,30.29,-911,-911,22.83,0,31.64,21.63,25.63
116,KHM,Cambodia,2002,19.8,1.67,100,NA,38.72,NA,NA,NA,NA,0,0,7,36.78,100,100,100,99.28,20,0,0,4.98,68.76,38.72,3.33,60,78.93,-911,0,0,0,36.94,30.31,32.96
120,CMR,Cameroon,2002,46.6,10.9,100,62,18.9,62.13,41.76,63.79,58.84,43.06,0,18.6,0,46.21,57.92,100,97.48,76,0,0,13.93,72.03,18.9,12.42,88,41.53,62.13,0,43.06,0,34.45,34.62,34.55
124,CAN,Canada,2002,100,95.9,16.84,50,97.34,59.85,53.78,29.2,72.18,16.64,15.18,95,70.52,44.1,51.89,100,83.45,96,29.07,80.42,95.61,92.82,97.34,95.75,56.42,54.13,59.85,22.13,16.64,80.42,95.3,55.3,71.3
132,CPV,Cape Verde,2002,60.6,11.01,100,0,63.97,45.04,40.29,45.15,NA,NA,18.75,62.4,0,14.64,14.64,100,100,0,67.14,19.4,31.73,87.47,63.97,21.37,50,7.32,45.04,42.95,-911,19.4,57.6,27.48,39.53
