code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
4,AFG,Afghanistan,2008,40.2,3.59,100,0,29.87,NA,NA,NA,NA,52.35,NA,13.8,NA,1.65,3.35,98.53,82.01,0,NA,0,5.75,64.78,29.87,4.67,50,1.88,-911,-911,52.35,0,33.11,12.62,20.82
8,ALB,Albania,2008,100,50.97,100,NA,88.9,85.74,86.45,78.69,99.4,17.25,0,58.8,73.71,58.79,57.06,83.75,61.87,20,0,3.36,58.62,68.14,88.9,54.79,60,63.19,85.74,0,17.25,3.36,70.61,42.8,53.92
12,DZA,Algeria,2008,98.8,59.37,100,NA,64.11,37.53,26.2,28.62,55.48,26.24,10,99,48.04,37.12,19.43,100,97.12,88,34.8,34.64,31.63,98.71,64.11,45.5,94,34.86,37.53,22.4,26.24,34.64,69.44,36.32,49.57
24,AGO,Angola,2008,34.2,13.91,100,0,13.31,NA,NA,NA,NA,26.24,5.69,39.2,38.89,65.54,62.37,100,95.68,12,27.34,0,6.21,78.29,13.31,10.06,56,41.7,-911,16.52,26.24,0,33.89,23.33,27.56
28,ATG,Antigua and Barbuda,2008,87.4,49.41,NA,100,81.65,8.41,13.11,0,NA,NA,0,99,45.05,38,60.64,100,100,84,0,11.37,72.62,99.67,81.65,61.02,84,60.92,8.41,0,-911,11.37,80.78,27.08,48.56
32,ARG,Argentina,2008,87.4,60.15,100,50,83.1,16.79,13.6,22.06,11.47,0,24.4,98.8,64.53,29.1,35.9,100,98.92,92,13.61,11.75,78.79,99.24,83.1,69.47,96,44.88,16.79,19,0,11.75,83.94,25.06,48.61
51,ARM,Armenia,2008,99.6,46.2,100,100,79.92,39.91,72.39,13.68,89.95,74.82,NA,74.8,NA,73.14,73.94,82.52,60.07,84,NA,22.59,68.9,72.46,79.92,57.55,92,80.16,39.91,-911,74.82,22.59,69.98,53.05,59.82
36,AUS,Australia,2008,100,100,50.52,86,98.8,47.67,44.55,31.12,53.98,100,23.93,95,99.03,67.28,67.89,100,100,76,14.65,92.33,100,98.33,98.8,100,63.26,80.05,47.67,19.29,100,92.33,99.04,70.11,81.68
40,AUT,Austria,2008,100,100,29.29,NA,99.63,62.09,54.7,51.19,76.91,19.87,NA,95,NA,86.59,93.99,83.37,58.99,92,NA,79.05,100,79.12,99.63,100,60.64,86.59,62.09,-911,19.87,79.05,92.92,68.84,78.47
31,AZE,Azerbaijan,2008,99.2,34.02,100,NA,62.74,80.88,90,78.28,83.55,63.12,NA,88.8,NA,58.66,68.89,93.85,76.98,24,NA,13.15,27.11,86.54,62.74,30.56,62,58.66,80.88,-911,63.12,13.15,59.95,52.87,55.7
44,BHS,Bahamas,2008,87.4,42.49,NA,NA,68.91,0,0,0,NA,21.31,6.11,95,65.26,79.55,81.77,100,100,12,66.04,11.37,61.42,98.33,68.91,51.95,12,75.53,0,36.07,21.31,11.37,73.07,28.06,46.06
48,BHR,Bahrain,2008,93.4,86.81,NA,NA,80.34,39.57,32.21,26.74,56.9,NA,0,95,0,7.48,7.48,79.23,64.03,12,0,64.27,100,79.42,80.34,93.4,12,4.99,39.57,0,-911,64.27,84.39,30.9,52.29
50,BGD,Bangladesh,2008,50.4,12.96,100,NA,50.08,NA,NA,NA,NA,22.83,0,9.4,77.27,10.82,30.44,38.5,3.96,84,0,0,29.69,17.29,50.08,21.32,92,39.51,-911,0,22.83,0,29.56,22.35,25.23
52,BRB,Barbados,2008,87.4,49.79,NA,0,86.82,12.38,11,14.85,NA,NA,0,100,8.03,0.54,0.54,100,100,84,100,11.37,96.45,100,86.82,73.12,84,2.28,12.38,50,-911,11.37,86.65,17.45,45.13
112,BLR,Belarus,2008,100,53.25,100,NA,86.62,43.15,90,36.27,41.89,68.23,NA,98.4,NA,41.25,41.25,80.99,56.83,36,NA,86.45,93.8,78.74,86.62,73.53,68,41.25,43.15,-911,68.23,86.45,79.63,58.82,67.14
56,BEL,Belgium,2008,100,100,23.89,NA,97.74,64.47,61.8,35.28,70.09,23.64,0,95,0,86.32,86.32,73.94,45.32,92,0,60,100,71.42,97.74,100,57.94,57.55,64.47,0,23.64,60,89.72,50.77,66.35
84,BLZ,Belize,2008,87.4,42.9,100,NA,78.61,2.59,83.28,0,NA,4.69,0,86.6,96.15,99.76,98.79,100,100,76,0,2.28,57.61,95.53,78.61,50.25,88,98.24,2.59,0,4.69,2.28,74.8,30.65,48.31
204,BEN,Benin,2008,27.4,0,80.1,NA,23.32,NA,NA,NA,NA,NA,0,8.4,0,98.86,98.79,100,89.21,68,0,0.01,20.4,65.87,23.32,10.2,74.05,65.88,-911,0,-911,0.01,33.13,31.04,31.87
64,BTN,Bhutan,2008,71.2,9.19,100,NA,37.76,NA,NA,NA,NA,63.12,NA,56.4,NA,94.92,96.13,66.26,45.68,0,NA,0,54.1,56.11,37.76,31.65,50,94.92,-911,-911,63.12,0,41.84,50.06,46.77
68,BOL,Bolivia,2008,79.4,9.36,100,43,46.13,63.57,0,90,11.28,11.77,NA,69.6,NA,95.73,91.7,100,97.84,28,NA,11.3,34.58,89.15,46.13,21.97,64,81.04,63.57,-911,11.77,11.3,52.42,48.17,49.87
70,BIH,Bosnia and Herzegovina,2008,99.8,62.55,100,NA,88.88,31.71,34.14,17.86,57.95,100,NA,54,NA,2.5,2.5,90.25,69.78,4,NA,3.18,80.97,71.34,88.88,71.76,52,2.5,31.71,-911,100,3.18,77.33,24.39,45.56
72,BWA,Botswana,2008,42.4,17.66,NA,NA,50.91,16.57,61.98,11.37,6.12,NA,NA,60.4,NA,100,100,100,100,20,NA,0.95,63.53,86.8,50.91,40.59,20,100,16.57,-911,-911,0.95,59.43,37.98,46.56
76,BRA,Brazil,2008,98.6,30.95,51.66,30,66.12,53.82,52.02,26.19,79.65,10.81,24.51,93,81.04,82.23,73.29,100,99.64,88,29.28,10.87,62.7,97.55,66.12,46.83,69.83,66.64,53.82,26.89,10.81,10.87,70.16,40.09,52.12
96,BRN,Brunei Darussalam,2008,72.2,46.07,NA,NA,97.82,21.73,0,16,64.57,36.46,17.84,95,NA,100,100,100,97.84,68,72.62,37.84,100,97.61,97.82,73.03,68,100,21.73,45.23,36.46,37.84,89.49,51.46,66.67
