code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
4,AFG,Afghanistan,2011,41,4.06,100,0,32.86,NA,NA,NA,NA,52.35,NA,15,NA,2.19,4.53,97.44,80.58,0,NA,0,11.33,64.34,32.86,7.69,50,2.52,-911,-911,52.35,0,34.97,12.87,21.71
8,ALB,Albania,2011,100,56.12,100,NA,93.76,85.74,86.45,78.69,99.4,17.25,0,61,73.71,58.79,57.06,80.67,57.19,20,0,3.36,55.69,66.29,93.76,55.91,60,63.19,85.74,0,17.25,3.36,71.99,42.8,54.47
12,DZA,Algeria,2011,99,60.39,100,NA,65.7,37.53,26.2,28.62,55.48,26.24,12.62,100,48.04,37.12,19.43,100,97.84,88,34.8,34.64,31.87,99.28,65.7,46.13,94,34.86,37.53,23.71,26.24,34.64,70.37,36.45,50.02
24,AGO,Angola,2011,35,16.12,100,0,14.8,NA,NA,NA,NA,26.24,18.56,45,38.89,65.54,62.37,100,92.81,12,27.34,0,7.4,79.27,14.8,11.76,56,41.7,-911,22.95,26.24,0,35.28,24.19,28.63
28,ATG,Antigua and Barbuda,2011,88,49.41,NA,100,83.27,8.41,13.11,0,NA,NA,0,100,45.05,38,60.64,100,100,84,0,11.37,72.62,100,83.27,61.01,84,60.92,8.41,0,-911,11.37,81.43,27.08,48.82
32,ARG,Argentina,2011,88,65.27,100,50,84.56,16.79,13.6,22.06,11.47,0,17.74,100,64.53,29.1,35.9,100,98.92,92,13.61,11.75,86.12,99.64,84.56,75.7,96,44.88,16.79,15.68,0,11.75,86.63,24.72,49.49
51,ARM,Armenia,2011,100,47.06,100,100,80.67,39.91,72.39,13.68,89.95,74.82,NA,81,NA,73.14,73.94,74.56,46.76,84,NA,22.59,85.54,67.44,80.67,66.3,92,80.16,39.91,-911,74.82,22.59,71.47,53.05,60.42
36,AUS,Australia,2011,100,100,56.91,90,99.85,47.67,44.55,31.12,53.98,100,24.1,95,99.29,72.06,70.97,100,100,76,14.65,92.33,100,98.33,99.85,100,66.46,83.08,47.67,19.37,100,92.33,99.39,71.03,82.38
40,AUT,Austria,2011,100,100,38.98,NA,100,62.09,54.7,51.19,76.91,19.87,NA,95,NA,86.59,93.99,76.79,51.08,92,NA,79.05,100,74.29,100,100,65.49,86.59,62.09,-911,19.87,79.05,91.43,69.11,78.03
31,AZE,Azerbaijan,2011,100,34.08,100,NA,61,80.88,90,78.28,83.55,63.12,NA,93,NA,58.66,68.89,91.64,72.66,24,NA,13.15,27.24,85.77,61,30.66,62,58.66,80.88,-911,63.12,13.15,59.14,52.87,55.38
44,BHS,Bahamas,2011,88,42.49,NA,NA,70.65,0,0,0,NA,21.31,13.33,95,65.26,79.55,81.77,100,100,12,66.04,11.37,61.41,98.33,70.65,51.95,12,75.53,0,39.68,21.31,11.37,73.64,28.42,46.51
48,BHR,Bahrain,2011,94,86.81,NA,NA,81.05,39.57,32.21,26.74,56.9,NA,0,95,0,7.48,7.48,78.48,52.16,12,0,64.27,100,75.21,81.05,93.4,12,4.99,39.57,0,-911,64.27,83.22,30.9,51.83
50,BGD,Bangladesh,2011,55,14.12,100,NA,53.82,NA,NA,NA,NA,22.83,0,9,77.27,11.26,30.5,33.91,0,84,0,0,31,14.3,53.82,22.56,92,39.68,-911,0,22.83,0,30.23,22.4,25.53
52,BRB,Barbados,2011,88,49.79,NA,0,88.98,12.38,11,14.85,NA,NA,0,100,8.03,0.54,0.54,100,100,84,100,11.37,96.44,100,88.98,73.12,84,2.28,12.38,50,-911,11.37,87.36,17.45,45.42
112,BLR,Belarus,2011,100,53.4,100,NA,87.94,43.15,90,36.27,41.89,68.23,NA,100,NA,41.25,41.25,82,56.83,36,NA,86.45,93.92,79.61,87.94,73.66,68,41.25,43.15,-911,68.23,86.45,80.41,58.82,67.45
56,BEL,Belgium,2011,100,100,38.67,NA,99.23,64.47,61.8,35.28,70.09,23.64,0,95,0,86.34,86.34,71.73,39.21,92,0,60,100,68.65,99.23,100,65.33,57.56,64.47,0,23.64,60,89.29,51.14,66.4
84,BLZ,Belize,2011,88,46,100,NA,80.22,2.59,83.28,0,NA,4.69,0,88,96.15,99.93,99.67,100,99.64,84,0,2.28,78.99,95.88,80.22,62.49,92,98.58,2.59,0,4.69,2.28,79.53,30.93,50.37
204,BEN,Benin,2011,28,0.02,80.1,NA,24.38,NA,NA,NA,NA,NA,0,9,0,98.86,98.79,100,90.29,68,0,0.01,22.85,66.43,24.38,11.44,74.05,65.88,-911,0,-911,0.01,34.08,31.04,32.26
64,BTN,Bhutan,2011,72,9.92,100,NA,41.22,NA,NA,NA,NA,63.12,NA,60,NA,94.92,96.13,46.44,20.5,0,NA,0,68.04,42.31,41.22,38.98,50,94.92,-911,-911,63.12,0,40.84,50.06,46.37
68,BOL,Bolivia,2011,80,10.37,100,43,47.91,63.57,0,90,11.28,11.77,NA,71,NA,95.73,91.7,100,98.56,28,NA,11.3,38.56,89.85,47.91,24.46,64,81.04,63.57,-911,11.77,11.3,54.08,48.17,50.53
70,BIH,Bosnia and Herzegovina,2011,100,63.05,100,NA,90.54,31.71,34.14,17.86,57.95,100,NA,55,NA,2.5,2.5,86.94,64.75,12,NA,3.18,81.25,68.9,90.54,72.15,56,2.5,31.71,-911,100,3.18,77.19,24.61,45.64
