code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
4,AFG,Afghanistan,2012,41,4.06,100,0,33.83,NA,NA,NA,NA,52.35,NA,15,NA,2.19,4.53,94.25,77.7,0,NA,0,11.33,62.32,33.83,7.69,50,2.52,-911,-911,52.35,0,34.61,12.87,21.57
8,ALB,Albania,2012,100,56.12,100,NA,93.75,85.74,86.45,78.69,99.4,17.25,0,61,73.71,58.79,57.06,82.56,61.15,20,0,3.36,55.69,68.24,93.75,55.91,60,63.19,85.74,0,17.25,3.36,72.63,42.8,54.73
12,DZA,Algeria,2012,99,60.39,100,NA,66.12,37.53,26.2,28.62,55.48,26.24,12.62,100,48.04,37.12,19.43,100,97.84,88,34.8,34.64,31.87,99.28,66.12,46.13,94,34.86,37.53,23.71,26.24,34.64,70.51,36.45,50.08
16,ASM,American Samoa,2012,56,68.4,NA,NA,NA,NA,NA,NA,NA,NA,21.05,NA,98.59,9.57,9.57,100,100,NA,78.55,40.98,100,NA,NA,84.2,NA,39.24,NA,49.8,NA,40.98,NA,NA,NA
20,AND,Andorra,2012,100,100,33.07,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,33.62,33.62,100,97.12,0,NA,38.38,100,97.37,NA,100,16.53,33.62,NA,-911,-911,38.38,NA,NA,NA
24,AGO,Angola,2012,35,16.12,100,0,15.29,NA,NA,NA,NA,26.24,18.56,45,38.89,65.54,62.37,100,92.81,12,27.34,0,7.4,79.27,15.29,11.76,56,41.7,-911,22.95,26.24,0,35.44,24.19,28.69
660,AIA,Anguilla,2012,NA,74.41,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,29.56,21.45,100,100,NA,0,NA,55.3,NA,NA,64.86,NA,17,NA,0,NA,NA,NA,NA,NA
28,ATG,Antigua and Barbuda,2012,88,49.41,NA,100,83.79,8.41,13.11,0,NA,NA,0,100,45.05,38,60.64,100,100,84,0,11.37,72.62,100,83.79,61.01,84,60.92,8.41,0,-911,11.37,81.6,27.08,48.89
32,ARG,Argentina,2012,88,65.27,100,50,85.07,16.79,13.6,22.06,11.47,0,17.74,100,64.53,29.1,35.9,100,98.92,92,13.61,11.75,86.12,99.64,85.07,75.7,96,44.88,16.79,15.68,0,11.75,86.8,24.72,49.55
51,ARM,Armenia,2012,100,47.06,100,100,80.93,39.91,72.39,13.68,89.95,74.82,NA,81,NA,73.14,73.94,84.42,64.39,84,NA,22.59,85.54,76.6,80.93,66.3,92,80.16,39.91,-911,74.82,22.59,74.61,53.05,61.67
533,ABW,Aruba,2012,88,73.27,NA,NA,81.39,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.22,100,100,NA,NA,NA,71.88,NA,81.39,72.57,NA,0.19,NA,NA,NA,NA,NA,NA,NA
