code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
4,AFG,Afghanistan,2004,38.6,3.01,100,0,26.1,NA,NA,NA,NA,52.35,NA,11.4,NA,1.65,3.35,98.83,80.58,0,NA,0,0,63.6,26.1,1.51,50,1.88,-911,-911,52.35,0,30.4,12.62,19.73
8,ALB,Albania,2004,100,44.93,100,NA,75.61,85.74,86.45,78.69,99.4,17.25,0,54.4,73.71,58.55,56.8,80.76,57.55,20,0,3.36,62.69,64.24,75.61,53.81,60,63.02,85.74,0,17.25,3.36,64.55,42.75,51.47
12,DZA,Algeria,2004,98.4,55.47,100,NA,60.75,37.53,26.2,28.62,55.48,26.24,29.88,97,48.04,37.12,19.43,100,90.65,80,34.4,34.64,36.12,95.88,60.75,45.79,90,34.86,37.53,32.14,26.24,34.64,67.47,37.1,49.25
24,AGO,Angola,2004,32.6,11.2,100,0,10.71,NA,NA,NA,NA,26.24,24.53,27.6,38.89,65.54,62.37,100,97.12,0,27.25,0,4.86,74.91,10.71,8.03,50,41.7,-911,25.89,26.24,0,31.22,24.18,27
28,ATG,Antigua and Barbuda,2004,86.2,43.4,NA,100,79.07,8.41,13.11,0,NA,NA,0,97,45.05,38,60.64,100,100,84,0,11.37,72.05,99,79.07,57.73,84,60.92,8.41,0,-911,11.37,78.6,27.08,47.69
32,ARG,Argentina,2004,86.2,54.58,100,50,81.6,16.79,13.6,22.06,11.47,0,16.67,96.4,64.53,29.1,35.9,100,100,84,16.95,11.75,71.04,98.8,81.6,62.81,92,44.88,16.79,16.81,0,11.75,81.07,24.64,47.21
51,ARM,Armenia,2004,98.8,45.14,100,100,77.83,39.91,72.39,13.68,89.95,74.82,NA,62.4,NA,73.14,73.94,78.65,53.96,84,NA,22.59,56.7,65,77.83,50.92,92,80.16,39.91,-911,74.82,22.59,64.58,53.05,57.66
36,AUS,Australia,2004,100,100,67.38,86,96.74,47.67,44.55,31.12,53.98,100,31.71,95,95.93,61.79,64.89,100,100,76,14.03,92.33,100,98.33,96.74,100,71.69,77.15,47.67,22.87,100,92.33,98.36,70.16,81.44
40,AUT,Austria,2004,100,100,10.51,NA,98.46,62.09,54.7,51.19,76.91,19.87,NA,95,NA,86.59,93.99,66.95,42.09,92,NA,79.05,100,68.01,98.46,100,51.25,86.59,62.09,-911,19.87,79.05,88.83,68.31,76.52
31,AZE,Azerbaijan,2004,97.6,24.66,100,NA,58.53,80.88,90,78.28,83.55,63.12,NA,80.4,NA,58.66,68.89,99.08,82.73,24,NA,13.15,23.91,87.4,58.53,24.29,62,58.66,80.88,-911,63.12,13.15,56.74,52.87,54.42
