code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
4,AFG,Afghanistan,2003,38.2,2.88,100,0,25.3,NA,NA,NA,NA,52.35,NA,10.8,NA,1.65,3.35,95.16,78.06,0,NA,0,0,61.34,25.3,1.44,50,1.88,-911,-911,52.35,0,29.36,12.62,19.32
8,ALB,Albania,2003,100,43.54,100,NA,73.38,85.74,86.45,78.69,99.4,17.25,0,53.3,73.71,42.42,39.52,80.12,56.12,12,0,3.36,63.73,63.18,73.38,53.64,56,51.89,85.74,0,17.25,3.36,63.4,39.77,49.22
12,DZA,Algeria,2003,98.3,54.42,100,NA,59.79,37.53,26.2,28.62,55.48,26.24,34.38,96.5,48.04,37.12,19.43,100,92.09,80,33.08,34.64,37.34,96.2,59.79,45.88,90,34.86,37.53,33.73,26.24,34.64,67.29,37.25,49.27
24,AGO,Angola,2003,32.2,10.56,100,0,9.84,NA,NA,NA,NA,26.24,25.57,24.7,38.89,65.54,62.37,100,96.4,0,27.68,0,4.56,73.7,9.84,7.56,50,41.7,-911,26.62,26.24,0,30.37,24.28,26.72
28,ATG,Antigua and Barbuda,2003,85.9,41.71,NA,100,78.38,8.41,13.11,0,NA,NA,0,96.5,45.05,35.01,59.48,100,100,84,0,11.37,71.87,98.83,78.38,56.79,84,59.88,8.41,0,-911,11.37,78,26.8,47.28
32,ARG,Argentina,2003,85.9,53.34,100,50,81.41,16.79,13.6,22.06,11.47,0,21.15,95.8,64.53,29.1,35.9,100,100,84,16.15,11.75,69.33,98.6,81.41,61.33,92,44.88,16.79,18.65,0,11.75,80.45,24.82,47.07
51,ARM,Armenia,2003,98.6,44.89,100,100,76.75,39.91,72.39,13.68,89.95,74.82,NA,59.3,NA,73.14,73.94,79.1,55.4,84,NA,22.59,54.43,64.6,76.75,49.66,92,80.16,39.91,-911,74.82,22.59,63.67,53.05,57.3
36,AUS,Australia,2003,100,100,68.46,86,96.1,47.67,44.55,31.12,53.98,100,32.47,95,89.71,59.64,62.97,100,100,68,14.22,92.33,100,98.33,96.1,100,68.23,74.58,47.67,23.34,100,92.33,98.14,69.39,80.89
40,AUT,Austria,2003,100,100,8.16,NA,98.03,62.09,54.7,51.19,76.91,19.87,NA,95,NA,86.59,93.99,67.28,42.09,92,NA,79.05,100,68.12,98.03,100,50.08,86.59,62.09,-911,19.87,79.05,88.72,68.25,76.44
31,AZE,Azerbaijan,2003,97.2,22.81,100,NA,55.01,80.88,90,78.28,83.55,63.12,NA,78.3,NA,55.89,65.05,97.03,80.22,12,NA,13.15,23.16,85.18,55.01,22.99,56,55.89,80.88,-911,63.12,13.15,54.39,51.77,52.82
