code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
4,AFG,Afghanistan,2009,40.6,3.74,100,0,30.88,NA,NA,NA,NA,52.35,NA,14.4,NA,2.19,4.53,100,83.09,0,NA,0,7.47,65.83,30.88,5.6,50,2.52,-911,-911,52.35,0,34.1,12.87,21.36
8,ALB,Albania,2009,100,52.62,100,NA,91.56,85.74,86.45,78.69,99.4,17.25,0,59.9,73.71,58.79,57.06,82.85,60.07,20,0,3.36,57.63,67.61,91.56,55.13,60,63.19,85.74,0,17.25,3.36,71.43,42.8,54.25
12,DZA,Algeria,2009,98.9,59.72,100,NA,64.72,37.53,26.2,28.62,55.48,26.24,12.5,99.5,48.04,37.12,19.43,100,97.48,88,34.8,34.64,31.71,98.99,64.72,45.72,94,34.86,37.53,23.65,26.24,34.64,69.81,36.45,49.79
24,AGO,Angola,2009,34.6,14.63,100,0,13.83,NA,NA,NA,NA,26.24,15.73,42.1,38.89,65.54,62.37,100,94.6,12,27.34,0,6.59,78.9,13.83,10.61,56,41.7,-911,21.54,26.24,0,34.45,24,28.18
28,ATG,Antigua and Barbuda,2009,87.7,49.41,NA,100,82.22,8.41,13.11,0,NA,NA,0,99.5,45.05,38,60.64,100,100,84,0,11.37,72.62,99.83,82.22,61.02,84,60.92,8.41,0,-911,11.37,81.02,27.08,48.66
32,ARG,Argentina,2009,87.7,61.75,100,50,83.57,16.79,13.6,22.06,11.47,0,19.93,99.4,64.53,29.1,35.9,100,98.92,92,13.61,11.75,81.04,99.44,83.57,71.4,96,44.88,16.79,16.77,0,11.75,84.8,24.83,48.82
51,ARM,Armenia,2009,99.8,46.48,100,100,80.16,39.91,72.39,13.68,89.95,74.82,NA,77.9,NA,73.14,73.94,78.79,50,84,NA,22.59,73.27,68.9,80.16,59.87,92,80.16,39.91,-911,74.82,22.59,69.64,53.05,59.69
36,AUS,Australia,2009,100,100,52.86,86,99.18,47.67,44.55,31.12,53.98,100,21.77,95,99.29,70.09,69.73,100,100,76,14.65,92.33,100,98.33,99.18,100,64.43,81.28,47.67,18.21,100,92.33,99.17,70.36,81.89
40,AUT,Austria,2009,100,100,28.77,NA,99.99,62.09,54.7,51.19,76.91,19.87,NA,95,NA,86.59,93.99,83.65,59.35,92,NA,79.05,100,79.34,99.99,100,60.38,86.59,62.09,-911,19.87,79.05,93.11,68.82,78.54
31,AZE,Azerbaijan,2009,99.6,34.04,100,NA,62.21,80.88,90,78.28,83.55,63.12,NA,90.9,NA,58.66,68.89,92.68,74.46,24,NA,13.15,27.15,86.01,62.21,30.59,62,58.66,80.88,-911,63.12,13.15,59.61,52.87,55.57
44,BHS,Bahamas,2009,87.7,42.49,NA,NA,69.51,0,0,0,NA,21.31,9.29,95,65.26,79.55,81.77,100,100,12,66.04,11.37,61.42,98.33,69.51,51.95,12,75.53,0,37.66,21.31,11.37,73.27,28.22,46.24
48,BHR,Bahrain,2009,93.7,86.81,NA,NA,80.33,39.57,32.21,26.74,56.9,NA,0,95,0,7.48,7.48,77.17,52.16,12,0,64.27,100,74.78,80.33,93.4,12,4.99,39.57,0,-911,64.27,82.84,30.9,51.67
50,BGD,Bangladesh,2009,52.7,13.34,100,NA,51.45,NA,NA,NA,NA,22.83,0,9.2,77.27,10.82,30.44,35.99,0,84,0,0,30.13,15.06,51.45,21.73,92,39.51,-911,0,22.83,0,29.41,22.35,25.17
52,BRB,Barbados,2009,87.7,49.79,NA,0,87.58,12.38,11,14.85,NA,NA,0,100,8.03,0.54,0.54,100,100,84,100,11.37,96.44,100,87.58,73.12,84,2.28,12.38,50,-911,11.37,86.9,17.45,45.23
112,BLR,Belarus,2009,100,53.3,100,NA,87.24,43.15,90,36.27,41.89,68.23,NA,99.2,NA,41.25,41.25,88.47,68.35,36,NA,86.45,93.84,85.34,87.24,73.57,68,41.25,43.15,-911,68.23,86.45,82.05,58.82,68.11
56,BEL,Belgium,2009,100,100,27,NA,98.27,64.47,61.8,35.28,70.09,23.64,0,95,0,86.33,86.33,75.06,46.04,92,0,60,100,72.03,98.27,100,59.5,57.55,64.47,0,23.64,60,90.1,50.84,66.55
84,BLZ,Belize,2009,87.7,44.06,100,NA,79.13,2.59,83.28,0,NA,4.69,0,87.3,96.15,99.76,98.79,100,100,76,0,2.28,63.53,95.77,79.13,53.8,88,98.24,2.59,0,4.69,2.28,76.23,30.65,48.88
204,BEN,Benin,2009,27.7,0,80.1,NA,23.73,NA,NA,NA,NA,NA,0,8.7,0,98.86,98.79,100,93.53,68,0,0.01,21.19,67.41,23.73,10.6,74.05,65.88,-911,0,-911,0.01,33.91,31.04,32.19
64,BTN,Bhutan,2009,71.6,9.43,100,NA,38.93,NA,NA,NA,NA,63.12,NA,58.2,NA,94.92,96.13,57.86,35.25,0,NA,0,57.99,50.44,38.93,33.71,50,94.92,-911,-911,63.12,0,41.03,50.06,46.45
68,BOL,Bolivia,2009,79.7,9.69,100,43,46.65,63.57,0,90,11.28,11.77,NA,70.3,NA,95.73,91.7,100,100,28,NA,11.3,35.85,90.1,46.65,22.77,64,81.04,63.57,-911,11.77,11.3,53.17,48.17,50.17
70,BIH,Bosnia and Herzegovina,2009,99.9,62.72,100,NA,89.47,31.71,34.14,17.86,57.95,100,NA,54.5,NA,2.5,2.5,93.07,73.38,4,NA,3.18,81.06,73.65,89.47,71.89,52,2.5,31.71,-911,100,3.18,78.34,24.39,45.97
72,BWA,Botswana,2009,42.7,18.32,NA,NA,52.54,16.57,61.98,11.37,6.12,NA,NA,61.7,NA,100,100,100,100,20,NA,0.95,64.42,87.23,52.54,41.37,20,100,16.57,-911,-911,0.95,60.38,37.98,46.94
76,BRA,Brazil,2009,98.8,31.52,52.02,30,66.64,53.82,52.02,26.19,79.65,10.81,29.06,93.5,81.04,82.35,73.51,100,99.64,88,29.28,10.87,64.42,97.71,66.64,47.97,70.01,66.73,53.82,29.17,10.81,10.87,70.77,40.35,52.52
96,BRN,Brunei Darussalam,2009,72.6,46.76,NA,NA,98.64,21.73,0,16,64.57,36.46,10.71,95,NA,100,100,100,96.04,68,72.62,37.84,100,97.01,98.64,73.38,68,100,21.73,41.66,36.46,37.84,89.68,51.1,66.53
100,BGR,Bulgaria,2009,100,100,54.81,NA,86.47,48.18,90,45.22,39.47,84.12,0,92.4,6.55,100,100,81.82,57.55,92,0,28.86,90.68,77.26,86.47,95.34,73.41,68.85,48.18,0,84.12,28.86,86.35,48.55,63.67
854,BFA,Burkina Faso,2009,12.4,0.71,100,NA,11.43,NA,NA,NA,NA,NA,NA,7.4,NA,83.75,83.75,100,100,76,NA,0.02,23.22,69.13,11.43,11.96,88,83.75,-911,-911,-911,0.02,30.84,46.08,39.99
108,BDI,Burundi,2009,4.9,11.61,100,NA,16.89,NA,NA,NA,NA,22.83,NA,3.8,NA,30.29,30.5,100,92.81,76,NA,0,20.94,65.54,16.89,16.27,88,30.29,-911,-911,22.83,0,32.9,21.93,26.32
116,KHM,Cambodia,2009,29.6,4.59,100,NA,50.13,NA,NA,NA,NA,0,0,10.5,36.78,100,100,100,94.24,28,0,0,12.73,68.25,50.13,8.66,64,78.93,-911,0,0,0,42.35,30.58,35.28
120,CMR,Cameroon,2009,48.7,10.89,100,62,21.04,62.13,41.76,63.79,58.84,43.06,0,24.2,0,54.61,64.37,100,96.04,84,0,0,20.89,73.41,21.04,15.89,92,45.24,62.13,0,43.06,0,36.78,35.75,36.16
124,CAN,Canada,2009,100,96,24.45,50,99.87,59.85,53.78,29.2,72.18,16.64,18.34,95,74.73,49.29,57.96,100,94.6,96,28.87,80.42,95.72,96.53,99.87,95.86,60.22,58,59.85,23.61,16.64,80.42,97.42,56.6,72.93
132,CPV,Cape Verde,2009,66.2,16.8,100,0,74.02,45.04,40.29,45.15,NA,NA,7.61,67.3,0,14.64,14.64,100,100,12,66.07,19.4,37.79,89.1,74.02,27.3,56,7.32,45.04,36.84,-911,19.4,63.47,27.14,41.67
140,CAF,Central African Republic,2009,8.7,5.74,100,NA,13.79,NA,NA,NA,NA,43.06,NA,3.8,NA,97,97.02,100,90.29,80,NA,0,15.44,64.7,13.79,10.59,90,97,-911,-911,43.06,0,29.69,50.85,42.39
148,TCD,Chad,2009,3.8,0,78.28,NA,13.51,NA,NA,NA,NA,NA,NA,11.2,NA,55.34,51.22,100,100,72,NA,0,5.34,70.4,13.51,2.67,75.14,55.34,-911,-911,-911,0,28.86,31.99,30.74
152,CHL,Chile,2009,99.8,72.28,37.98,40,90,35.92,53.08,32.93,12.23,100,17.69,93.2,71.68,59.81,46.21,100,94.96,92,25.52,68.85,73.11,96.05,90,72.69,64.99,54.43,35.92,21.61,100,68.85,86.25,55.21,67.62
156,CHN,China,2009,99.8,18.46,23.61,54,78.74,65.16,39.29,75,51.83,25.34,17.68,53.3,67.76,64.33,80.41,0.1,0,52,9.21,18.18,43.7,17.8,78.74,31.08,37.81,66.63,65.16,13.45,25.34,18.18,42.54,43.26,42.97
170,COL,Colombia,2009,96.6,29.02,15.33,56,61.3,43.49,64.68,36.3,48.1,26.24,14.63,85.5,99.08,89.05,76.54,100,99.64,92,55.42,4.6,48.75,95.05,61.3,38.89,53.67,80.17,43.49,35.03,26.24,4.6,65.08,40.87,50.56
174,COM,Comoros,2009,47.7,6.29,100,0,32.66,NA,NA,NA,NA,68.23,0,28.2,0,0,0,100,100,16,96.52,3.96,57.26,76.07,32.66,31.78,58,0,-911,48.26,68.23,3.96,46.84,20.72,31.17
178,COG,Congo,2009,35.4,1.08,NA,NA,25.02,59.88,55.48,90,0.01,47.23,0,22.1,88.53,55,55.34,100,96.76,92,0,0.18,19.35,72.95,25.02,10.21,92,66.29,59.88,0,47.23,0.18,36.06,40.91,38.97
188,CRI,Costa Rica,2009,98.6,54.3,100,100,89.02,38.46,46.55,34.42,38.81,19.87,25.53,93.3,74.46,94.44,89.28,100,100,80,47.93,0.9,62.42,97.77,89.02,58.36,90,89.55,38.46,36.73,19.87,0.9,81.72,42.39,58.12
384,CIV,Cote d'Ivoire,2009,58.2,2.58,100,67,27.04,49.3,48.32,53.16,41.59,0,11.64,21.7,57.94,100,100,100,98.92,60,53.64,0.6,26.4,73.54,27.04,14.49,80,81.23,49.3,32.64,0,0.6,38.36,40.05,39.37
191,HRV,Croatia,2009,100,76.91,25.98,NA,95.31,63.26,72.63,42.91,63.39,63.12,18.4,91.2,85.5,69.98,54.17,86.09,63.31,96,23.89,13.23,78.32,80.2,95.31,77.62,60.99,69.88,63.26,21.14,63.12,13.23,84.38,48.07,62.59
192,CUB,Cuba,2009,99.7,48.68,NA,50,92.09,16.93,0,14.87,23.47,100,11.24,91.3,78.59,36.57,51.31,100,100,84,49.27,9.19,50.74,97.1,92.09,49.71,84,54.12,16.93,30.26,100,9.19,79.63,37.29,54.23
