code,iso,country,year,ACCESS,ACSAT,AGSUB,AZE,CHMORT,CLIMATE,CO2GDPd1,CO2GDPd2,CO2KWH,FORCH,FSOC,HAP,MPAEEZ,PACOVD,PACOVW,PM25,PM25EXBL,POPS,TCEEZ,WASTECXN,WATSUP,EH_AirQuality,EH_HealthImpacts,EH_WaterSanitation,EV_Agriculture,EV_BiodiversityHabitat,EV_ClimateEnergy,EV_Fisheries,EV_Forests,EV_WaterResources,EH,EV,EPI
4,AFG,Afghanistan,2007,39.8,3.44,100,0,28.87,NA,NA,NA,NA,52.35,NA,13.2,NA,1.65,3.35,96.15,79.14,0,NA,0,4.15,62.83,28.87,3.8,50,1.88,-911,-911,52.35,0,31.83,12.62,20.31
8,ALB,Albania,2007,100,49.38,100,NA,85.54,85.74,86.45,78.69,99.4,17.25,0,57.7,73.71,58.55,56.8,81.13,59.71,20,0,3.36,59.62,66.18,85.54,54.5,60,63.02,85.74,0,17.25,3.36,68.74,42.75,53.15
12,DZA,Algeria,2007,98.7,58.44,100,NA,63.39,37.53,26.2,28.62,55.48,26.24,17.99,98.5,48.04,37.12,19.43,100,96.04,88,34.8,34.64,32.69,98.18,63.39,45.57,94,34.86,37.53,26.39,26.24,34.64,69.05,36.72,49.65
24,AGO,Angola,2007,33.8,13.21,100,0,12.76,NA,NA,NA,NA,26.24,19.83,36.3,38.89,65.54,62.37,100,95.68,12,27.34,0,5.85,77.33,12.76,9.53,56,41.7,-911,23.59,26.24,0,33.21,24.28,27.85
28,ATG,Antigua and Barbuda,2007,87.1,49.41,NA,100,81.05,8.41,13.11,0,NA,NA,0,98.5,45.05,38,60.64,100,100,84,0,11.37,72.62,99.5,81.05,61.02,84,60.92,8.41,0,-911,11.37,80.52,27.08,48.46
32,ARG,Argentina,2007,87.1,58.65,100,50,82.66,16.79,13.6,22.06,11.47,0,20.42,98.2,64.53,29.1,35.9,100,99.28,92,13.61,11.75,76.68,99.16,82.66,67.67,96,44.88,16.79,17.01,0,11.75,83.16,24.86,48.18
51,ARM,Armenia,2007,99.4,45.93,100,100,79.63,39.91,72.39,13.68,89.95,74.82,NA,71.7,NA,73.14,73.94,76.7,47.84,84,NA,22.59,65.21,65.41,79.63,55.57,92,80.16,39.91,-911,74.82,22.59,66.87,53.05,58.58
36,AUS,Australia,2007,100,100,47.42,86,98.36,47.67,44.55,31.12,53.98,100,24.09,95,99.03,66.41,67.19,100,100,76,14.65,92.33,100,98.33,98.36,100,61.71,79.66,47.67,19.37,100,92.33,98.9,69.94,81.52
40,AUT,Austria,2007,100,100,24.38,NA,99.34,62.09,54.7,51.19,76.91,19.87,NA,95,NA,86.59,93.99,70.95,41.01,92,NA,79.05,100,68.99,99.34,100,58.19,86.59,62.09,-911,19.87,79.05,89.44,68.7,77
31,AZE,Azerbaijan,2007,98.8,31.3,100,NA,62.93,80.88,90,78.28,83.55,63.12,NA,86.7,NA,58.66,68.89,93.35,76.26,24,NA,13.15,26.28,85.44,62.93,28.79,62,58.66,80.88,-911,63.12,13.15,59.05,52.87,55.34
